entry_bar,exit_bar,side,entry_price,exit_price,quantity,pnl,exit_reason,confidence
2136,2167,SELL,25437.61,25415.93,1,1.68,TP,0.4733
2172,2197,SELL,25450.36,25479.34,1,-48.99,SL,0.5665
2206,2222,SELL,25510.95,25486.9,1,4.05,TP,0.594
2236,2250,SELL,25494.05,25405.73,1,68.32,TP,0.5434
2255,2264,SELL,25395.77,25369.62,1,6.15,TP,0.8115
2271,2285,BUY,25361.17,25334.53,1,-46.64,SL,0.5217
2290,2301,SELL,25339.68,25317.86,1,1.82,TP,0.6984
2306,2315,SELL,25325.88,25302.96,1,2.92,TP,0.6115
2327,2385,SELL,25329.18,25305.56,1,3.62,TP,0.5467
2392,2407,BUY,25280.71,25306.24,1,5.53,TP,0.7617
2413,2431,SELL,25309.84,25287.91,1,1.93,TP,0.6361
2437,2443,BUY,25278.86,25305.19,1,6.33,TP,0.5318
2448,2522,SELL,25295.69,25326.26,1,-50.57,SL,0.5864
2531,2562,SELL,25334.73,25310.16,1,4.57,TP,0.5897
2580,2593,SELL,25287.99,25315.41,1,-47.42,SL,0.8123
2598,2601,SELL,25184.96,25158.53,1,6.43,TP,0.6747
2610,2625,SELL,25168.37,24863.32,1,285.04,TP,0.7013
2630,2633,SELL,24924.86,24890.58,1,14.29,TP,0.6787
2638,2639,SELL,24915.17,24894.38,1,0.79,TP,0.6666
2644,2647,SELL,24969.56,24936.79,1,12.77,TP,0.8883
2652,2662,SELL,24962.26,24926.03,1,16.22,TP,0.8006
2667,2674,SELL,24926.31,24903.23,1,3.08,TP,0.8294
2679,2706,SELL,24879.67,24855.97,1,3.7,TP,0.5875
2711,2714,SELL,24848.93,24818.66,1,10.27,TP,0.7196
2719,2728,BUY,24823.76,24850.93,1,7.16,TP,0.5303
2733,2749,SELL,24860.18,24836.52,1,3.66,TP,0.8148
2754,2783,SELL,24820.19,24800.06,1,0.13,TP,0.7648
2788,2795,SELL,24790.49,24768.05,1,2.44,TP,0.7974
2800,2805,SELL,24762.25,24731.45,1,10.8,TP,0.7652
2813,2828,SELL,24725.3,24700.64,1,4.67,TP,0.6481
2865,2890,SELL,24693.01,24671.73,1,1.28,TP,0.8231
2895,2905,SELL,24663.12,24628.77,1,14.34,TP,0.7026
2910,2913,BUY,24615.12,24683.41,1,48.29,TP,0.8188
2918,2922,BUY,24745.45,24767.8,1,2.35,TP,0.8074
2927,2937,SELL,24768.99,24748.5,1,0.49,TP,0.8148
2942,2944,BUY,24743.25,24794.79,1,31.54,TP,0.5657
2949,2950,SELL,24832.68,24872.32,1,-59.64,SL,0.5948
2955,2957,SELL,24840.03,24894.43,1,-74.4,SL,0.6314
2962,2967,SELL,24870.52,24843.12,1,7.41,TP,0.8828
2972,2973,BUY,24825.41,24851.63,1,6.21,TP,0.7622
2978,2980,BUY,24875.57,24850.33,1,-45.24,SL,0.5888
2985,2988,SELL,24881.52,24908.48,1,-46.96,SL,0.5787
2993,3000,SELL,24866.03,24406.13,1,439.9,TP,0.722
3005,3008,SELL,24381.77,24354.97,1,6.8,TP,0.8431
3013,3020,SELL,24350.23,24329.36,1,0.86,TP,0.6932
3025,3028,BUY,24377.57,24404.07,1,6.49,TP,0.7418
3033,3044,SELL,24350.73,24330.77,1,-0.04,TP,0.608
3049,3054,BUY,24337.72,24363.08,1,5.36,TP,0.5754
3059,3072,SELL,24408.77,24438.84,1,-50.07,SL,0.7258
3077,3111,SELL,24404.32,24428.79,1,-44.47,SL,0.6971
3116,3124,SELL,24441.01,24416.93,1,4.08,TP,0.6659
3129,3136,SELL,24388.42,24367.37,1,1.05,TP,0.5199
3141,3156,SELL,24374.07,24401.38,1,-47.31,SL,0.4939
3169,3183,BUY,24393.98,24364.13,1,-49.85,SL,0.5692
3208,3221,BUY,24380.72,24412.07,1,11.34,TP,0.4758
3226,3236,BUY,24425.08,24446.01,1,0.93,TP,0.5813
3241,3251,SELL,24447.31,24478.09,1,-50.79,SL,0.5344
3256,3260,SELL,24457.91,24433.39,1,4.52,TP,0.6319
3265,3281,SELL,24446.36,24422.18,1,4.18,TP,0.5008
3286,3293,BUY,24452.94,24473.1,1,0.16,TP,0.5016
3298,3310,BUY,24548.46,24516.5,1,-51.96,SL,0.5611
3315,3318,BUY,24507.5,24544.44,1,16.94,TP,0.8146
3323,3326,BUY,24530.96,24554.49,1,3.53,TP,0.6075
3331,3333,BUY,24556.41,24583.23,1,6.82,TP,0.5061
3338,3345,SELL,24583.98,24539.41,1,24.58,TP,0.6973
3350,3354,SELL,24501.05,24477.09,1,3.95,TP,0.7347
3360,3375,BUY,24460.34,24574.53,1,94.19,TP,0.6219
3380,3382,BUY,24576.72,24599.88,1,3.16,TP,0.569
3387,3392,SELL,24559.54,24584.37,1,-44.83,SL,0.8916
3397,3401,BUY,24548.76,24572.18,1,3.43,TP,0.7926
3406,3411,BUY,24601.12,24626.27,1,5.15,TP,0.7753
3416,3433,SELL,24633.22,24608.42,1,4.8,TP,0.7887
3438,3445,SELL,24599.53,24571.36,1,8.17,TP,0.5708
3450,3455,BUY,24560.06,24585.63,1,5.57,TP,0.6194
